chromosome,window_start,window_end,Azucena_CG,IR64_CG,Azucena_CHG,IR64_CHG,Azucena_CHH,IR64_CHH,recombination_rate
chr1,5000001,5100000,429,1158,69,303,84,29,0.235845508
chr1,5100001,5200000,793,881,204,96,127,147,0.714317955
chr1,5200001,5300000,942,1076,202,214,128,90,1.659946068
chr1,5300001,5400000,1100,871,343,206,99,108,1.415073049
chr1,5400001,5500000,1006,1317,102,270,26,81,0.471691016
chr1,5500001,5600000,890,1059,134,200,60,81,0.943382033
chr1,5600001,5700000,848,926,156,256,72,77,0.943382033
chr1,5700001,5800000,948,1177,229,307,30,26,0.471691016
chr1,5800001,5900000,844,1197,170,419,99,46,1.891256225
chr1,5900001,6000000,772,1195,358,266,71,43,0
chr1,6000001,6100000,942,1045,188,247,41,55,0.471691016
chr1,6100001,6200000,1104,1316,431,290,41,69,0.235845508
chr1,6200001,6300000,1079,1119,260,340,39,23,0.471691016
chr1,6300001,6400000,858,1232,208,200,41,28,0.235845508
chr1,6400001,6500000,1076,905,256,222,62,43,0.943382033
chr1,6500001,6600000,1056,717,260,155,44,80,0.471691016
chr1,6600001,6700000,1162,859,306,154,31,64,0.235845508
chr1,6700001,6800000,784,789,150,207,65,138,1.659946068
chr1,6800001,6900000,748,929,133,212,41,128,0.471691016
chr1,6900001,7000000,868,1006,210,213,70,56,0
chr1,7000001,7100000,799,946,115,131,77,93,0.707536525
chr1,7100001,7200000,835,1135,256,314,84,130,0.235845508
chr1,7200001,7300000,937,1024,271,121,55,35,0
chr1,7300001,7400000,941,1026,245,297,41,102,0
chr1,7400001,7500000,1117,1142,338,298,50,66,1.181473621
chr1,7500001,7600000,966,1109,145,285,106,80,0.943382033
chr1,7600001,7700000,1049,1565,282,378,42,97,0
chr1,7700001,7800000,1079,1184,279,378,88,65,0
chr1,7800001,7900000,1130,1131,226,236,71,75,0.471691016
chr1,7900001,8000000,1055,1403,243,334,50,12,0.471691016
chr1,8000001,8100000,947,1225,363,322,46,59,0.471691016
chr1,8100001,8200000,893,1011,168,150,71,75,0.471691016
chr1,8200001,8300000,1068,1069,271,311,11,66,0
chr1,8300001,8400000,1208,925,297,135,40,97,1.893545497
chr1,8400001,8500000,841,1501,153,516,80,91,2.610109531
chr1,8500001,8600000,1006,1138,275,311,52,58,2.129347812
chr1,8600001,8700000,989,1057,141,258,40,118,1.179227541
chr1,8700001,8800000,1485,984,487,119,67,82,0
chr1,8800001,8900000,1126,1058,240,210,16,77,0.471691016
chr1,8900001,9000000,917,1173,187,301,76,90,0.235845508
chr1,9000001,9100000,974,1354,196,226,44,136,0.473937096
chr1,9100001,9200000,915,1216,217,224,30,75,0.471691016
chr1,9200001,9300000,987,1315,212,398,85,57,0
chr1,9300001,9400000,1262,1577,234,364,82,28,0.235845508
chr1,9400001,9500000,1246,1118,197,487,50,40,0
chr1,9500001,9600000,898,1145,157,271,22,56,0.471691016
chr1,9600001,9700000,1433,1067,432,224,32,89,0.235845508
chr1,9700001,9800000,1076,1403,665,370,18,36,0.471691016
chr1,9800001,9900000,990,1254,271,312,67,41,0.471691016
chr1,9900001,10000000,1140,1405,214,402,68,74,0
chr1,10000001,10100000,1219,1353,253,355,16,76,0
chr1,10100001,10200000,1418,1528,485,612,29,36,0.235845508
chr1,10200001,10300000,1105,1185,295,274,58,28,0
chr1,10300001,10400000,977,1179,361,303,44,32,0.471691016
chr1,10400001,10500000,993,1473,270,400,79,97,0.471691016
chr1,10500001,10600000,892,1110,224,257,39,194,0
chr1,10600001,10700000,1362,1392,442,278,12,17,0.235845508
chr1,10700001,10800000,1468,1733,470,582,107,16,0
chr1,10800001,10900000,1024,1286,288,341,160,10,0.707536525
chr1,10900001,11000000,1116,1348,274,262,30,36,0.945628112
chr1,11000001,11100000,1033,1411,351,393,34,64,0
chr1,11100001,11200000,929,1949,181,735,20,28,0.235845508
chr1,11200001,11300000,1076,1431,322,311,28,58,0.943382033
chr1,11300001,11400000,1337,1879,357,426,41,6,0.471691016
chr1,11400001,11500000,1794,1402,638,336,15,28,0.945628112
chr1,11500001,11600000,1218,1491,356,427,34,48,0
chr1,11600001,11700000,1506,1223,404,285,8,91,0
chr1,11700001,11800000,1221,1191,328,366,22,95,0
chr1,11800001,11900000,1102,1757,306,359,38,13,0.94449975
chr1,11900001,12000000,1283,1549,249,414,43,61,0.235845508
chr1,12000001,12100000,980,1672,331,344,80,11,0.471691016
chr1,12100001,12200000,1513,1793,350,754,21,0,0
chr1,12200001,12300000,1638,1857,465,467,32,19,0
chr1,12300001,12400000,1220,1203,433,273,10,33,0.948991907
chr1,12400001,12500000,1306,1667,445,581,16,61,0.235845508
chr1,12500001,12600000,1184,1768,204,560,1,25,0.471691016
chr1,12600001,12700000,1147,1195,353,247,98,50,0
chr1,12700001,12800000,1531,1295,708,273,3,24,0.235845508
chr1,12800001,12900000,1052,1828,293,777,25,13,0.473937096
chr1,12900001,13000000,1177,1645,328,571,76,36,0.707536525
chr1,13000001,13100000,1385,1885,537,573,20,12,0.707536525
chr1,13100001,13200000,1046,1446,365,178,12,14,0.235845508
chr1,13200001,13300000,1819,1634,833,307,0,18,0
chr1,13300001,13400000,1901,1656,689,359,7,35,0
chr1,13400001,13500000,1548,1582,352,507,5,41,0
chr1,13500001,13600000,1285,1875,193,573,24,58,0
chr1,13600001,13700000,1428,1665,437,719,22,23,0.235845508
chr1,13700001,13800000,1562,1736,525,579,12,3,0
chr1,13800001,13900000,1512,1889,652,778,36,29,0
chr1,13900001,14000000,1436,1568,548,412,5,52,0
chr1,14000001,14100000,1443,1588,550,394,10,30,0
chr1,14100001,14200000,1299,1432,475,394,67,15,0
chr1,14200001,14300000,1382,1428,451,268,24,11,0.235845508
chr1,14300001,14400000,1287,2454,420,724,35,4,1.184848214
chr1,14400001,14500000,1551,1584,508,302,3,17,0
chr1,14500001,14600000,1754,901,512,283,6,4,0
chr1,14600001,14700000,1377,1461,478,286,9,63,0.235845508
chr1,14700001,14800000,1463,1547,248,454,62,7,0
chr1,14800001,14900000,1479,1641,551,583,18,48,0
chr1,14900001,15000000,920,1988,305,548,15,17,0.235845508
chr1,15000001,15100000,1401,2124,421,650,76,69,0
chr1,15100001,15200000,1422,1386,616,265,36,32,0
chr1,15200001,15300000,1478,2116,420,539,5,4,0.471691016
chr1,15300001,15400000,1318,1330,263,375,23,17,0
chr1,15400001,15500000,1464,1769,380,442,16,15,0
chr1,15500001,15600000,1245,1766,382,577,22,14,0
chr1,15600001,15700000,1466,1481,624,476,9,30,0
chr1,15700001,15800000,1551,1341,482,368,5,43,0
chr1,15800001,15900000,1471,1571,298,369,14,37,0.473937096
chr1,15900001,16000000,1433,1752,413,542,11,34,0
chr1,16000001,16100000,1466,1798,788,453,6,6,0
chr1,16100001,16200000,1176,2000,432,818,0,6,0
chr1,16200001,16300000,1589,2245,702,659,1,1,0
chr1,16300001,16400000,1689,1830,543,506,11,9,0
chr1,16400001,16500000,1448,1854,392,515,43,19,0
chr1,16500001,16600000,1462,2102,528,746,8,3,0
chr1,16600001,16700000,1445,1375,726,589,7,24,0.943382033
chr1,16700001,16800000,1698,2110,617,877,10,4,0
chr1,16800001,16900000,1949,2040,722,614,5,5,0
chr1,16900001,17000000,1749,2108,749,1057,2,12,0
chr1,17000001,17100000,1887,2134,781,946,0,1,0
chr1,17100001,17200000,2204,2224,322,398,0,2,0
chr1,17200001,17300000,2025,2756,380,216,6,0,0
chr1,17300001,17400000,1000,2180,340,254,0,0,0
chr1,17400001,17500000,850,1783,77,198,0,0,0
chr1,17500001,17600000,1744,1106,196,50,0,0,0
chr1,17600001,17700000,2140,2145,838,161,0,0,0
chr1,17700001,17800000,2095,1215,730,109,7,0,0
chr1,17800001,17900000,1987,1091,1009,95,4,0,0
chr1,17900001,18000000,1628,2376,610,326,18,1,0
chr1,18000001,18100000,1567,2069,581,718,10,0,0
chr1,18100001,18200000,1710,2631,766,885,17,2,0
chr1,18200001,18300000,1457,1928,598,839,20,0,0
chr1,18300001,18400000,1484,2082,597,908,20,1,0
chr1,18400001,18500000,1364,1821,592,726,26,7,0
chr1,18500001,18600000,1409,1969,556,907,35,1,0
chr1,18600001,18700000,1154,1952,280,724,58,2,0
chr1,18700001,18800000,1596,1873,451,561,15,22,0
chr1,18800001,18900000,1089,1701,284,755,16,12,0.235845508
chr1,18900001,19000000,1468,1611,617,584,11,55,0
chr1,19000001,19100000,1339,1997,516,621,26,25,0.471691016
chr1,19100001,19200000,1539,1702,384,540,19,53,0.235845508
chr1,19200001,19300000,1527,1831,321,889,17,29,0.471691016
chr1,19300001,19400000,1394,1912,552,594,3,27,0
chr1,19400001,19500000,1371,1308,450,333,22,94,0
chr1,19500001,19600000,1830,1806,580,397,6,9,0
chr1,19600001,19700000,1419,956,567,308,76,26,0
chr1,19700001,19800000,1447,1673,490,579,37,31,0
chr1,19800001,19900000,1639,2275,821,844,16,8,0.235845508
chr1,19900001,20000000,1465,1428,335,403,3,27,0
chr1,20000001,20100000,1334,1724,502,612,49,12,0.707536525
chr1,20100001,20200000,1308,1602,394,227,19,30,0
chr1,20200001,20300000,1421,1709,608,516,6,5,0
chr1,20300001,20400000,1457,1785,686,534,2,6,0
chr1,20400001,20500000,1659,1849,834,606,1,24,0
chr1,20500001,20600000,1531,1638,717,505,13,18,0
chr1,20600001,20700000,923,2057,241,715,10,51,0.945628112
chr1,20700001,20800000,1648,1540,385,439,15,25,0
chr1,20800001,20900000,1818,1964,703,689,8,7,0
chr1,20900001,21000000,1027,1456,326,324,23,2,0.471691016
chr1,21000001,21100000,1395,1346,378,343,6,61,0.471691016
chr1,21100001,21200000,1714,1872,480,547,13,26,0.235845508
chr1,21200001,21300000,1216,1642,358,509,40,29,0.945628112
chr1,21300001,21400000,1252,1532,384,377,4,12,0.471691016
chr1,21400001,21500000,1882,2359,791,840,13,30,0
chr1,21500001,21600000,1151,1913,496,774,43,0,0.709782604
chr1,21600001,21700000,1323,1606,560,538,4,7,0.235845508
chr1,21700001,21800000,1399,1304,424,300,19,26,0.235845508
chr1,21800001,21900000,704,963,135,227,40,19,0
chr1,21900001,22000000,960,1733,242,459,32,26,0.471691016
chr1,22000001,22100000,1268,1338,387,347,24,46,0.235845508
chr1,22100001,22200000,1644,1828,525,544,33,5,0.471691016
chr1,22200001,22300000,1567,1566,641,488,44,41,0
chr1,22300001,22400000,1086,1374,277,377,28,21,1.179227541
chr1,22400001,22500000,1596,1098,442,191,2,79,1.650918558
chr1,22500001,22600000,1101,1351,390,350,38,57,0.943382033
chr1,22600001,22700000,1172,2016,449,639,26,22,0.471691016
chr1,22700001,22800000,1296,2165,331,820,105,15,1.179227541
chr1,22800001,22900000,1438,2201,448,703,24,1,0.471691016
chr1,22900001,23000000,1441,1681,419,547,18,9,0
chr1,23000001,23100000,1268,1584,308,345,37,54,0.473937096
chr1,23100001,23200000,1288,1840,401,391,41,1,0.471691016
chr1,23200001,23300000,1125,1209,355,324,17,67,0.94449975
chr1,23300001,23400000,1023,1027,128,295,68,12,0
chr1,23400001,23500000,1491,1553,244,378,20,102,0
chr1,23500001,23600000,1128,1667,252,424,44,16,0.707536525
chr1,23600001,23700000,1197,1716,350,644,18,8,1.179227541
chr1,23700001,23800000,1083,1512,222,384,21,52,0.235845508
chr1,23800001,23900000,1227,1149,191,373,49,44,0.946745829
chr1,23900001,24000000,1342,1436,536,467,7,71,0
chr1,24000001,24100000,945,1162,219,152,24,97,0
chr1,24100001,24200000,1403,1534,504,207,29,26,0
chr1,24200001,24300000,1194,1207,366,288,79,55,0.709782604
chr1,24300001,24400000,1100,1201,323,335,43,31,1.657699988
chr1,24400001,24500000,1191,1433,421,410,51,20,0.709782604
chr1,24500001,24600000,953,1377,307,345,30,71,0.235845508
chr1,24600001,24700000,980,1700,318,684,6,51,0.947852901
chr1,24700001,24800000,988,1169,356,182,50,13,1.187083648
chr1,24800001,24900000,927,1847,197,672,80,78,0
chr1,24900001,25000000,1319,1015,285,266,48,52,0
chr1,25000001,25100000,1186,1489,356,375,24,86,0.472808734
chr1,25100001,25200000,1126,897,343,202,38,143,1.654271709
chr1,25200001,25300000,890,1359,132,362,74,83,1.415073049
chr1,25300001,25400000,1117,1014,138,204,34,101,0.708654242
chr1,25400001,25500000,1395,1612,429,391,6,90,0.473926451
chr1,25500001,25600000,1093,1109,193,282,76,40,0.473926451
chr1,25600001,25700000,943,1106,357,308,52,47,0.946735184
chr1,25700001,25800000,890,1182,190,244,76,71,0
chr1,25800001,25900000,1035,1006,316,179,45,77,0.946745829
chr1,25900001,26000000,1014,1436,259,421,95,32,0
chr1,26000001,26100000,1246,988,435,197,74,16,0.235845508
chr1,26100001,26200000,1570,1126,517,368,50,148,0
chr1,26200001,26300000,1052,1077,316,256,13,101,0
chr1,26300001,26400000,1308,784,613,216,51,73,0
chr1,26400001,26500000,612,1295,150,413,86,73,0.709782604
chr1,26500001,26600000,889,1480,192,682,39,45,0
chr1,26600001,26700000,1077,1336,262,519,33,125,0
chr1,26700001,26800000,1184,1766,297,490,74,61,0.943382033
chr1,26800001,26900000,949,1328,206,406,69,26,0.943382033
chr1,26900001,27000000,1094,1525,293,694,37,48,0.235845508
chr1,27000001,27100000,1192,1259,432,426,39,99,0.709782604
chr1,27100001,27200000,856,1172,252,331,62,59,0.235845508
chr1,27200001,27300000,932,1144,205,264,73,62,0.707536525
chr1,27300001,27400000,1137,1459,267,338,16,127,0.473937096
chr1,27400001,27500000,1012,763,242,219,30,62,0.471691016
chr1,27500001,27600000,633,1232,99,310,43,78,0.471691016
chr1,27600001,27700000,1308,1583,437,496,40,47,0
chr1,27700001,27800000,847,858,131,213,49,109,0
chr1,27800001,27900000,898,994,233,172,142,64,0.236963225
chr1,27900001,28000000,917,1193,143,229,79,58,0.473926451
chr1,28000001,28100000,822,1020,267,256,15,114,0
chr1,28100001,28200000,990,1026,281,227,87,113,0
chr1,28200001,28300000,1181,1149,238,359,48,58,0.471691016
chr1,28300001,28400000,888,910,105,194,56,74,0.235845508
chr1,28400001,28500000,1123,738,385,216,73,123,0
chr1,28500001,28600000,1117,784,331,120,33,72,0
chr1,28600001,28700000,861,1075,152,239,104,54,0.235845508
chr1,28700001,28800000,611,1077,130,228,89,109,0.236963225
chr1,28800001,28900000,1127,1065,310,239,39,134,0.947852901
chr1,28900001,29000000,1190,1034,244,226,63,104,0.472808734
chr1,29000001,29100000,714,1787,106,789,78,89,0
chr1,29100001,29200000,914,1389,196,397,102,96,0.235845508
chr1,29200001,29300000,1294,701,235,101,48,119,0.235845508
chr1,29300001,29400000,1009,1098,267,228,96,141,0.235845508
chr1,29400001,29500000,997,1077,288,244,57,63,0.471691016
chr1,29500001,29600000,953,932,259,177,123,98,0.471691016
chr1,29600001,29700000,812,884,252,160,77,168,0.471691016
chr1,29700001,29800000,1263,1053,387,233,17,108,0.235845508
chr1,29800001,29900000,921,923,196,383,57,88,0.471691016
chr1,29900001,30000000,916,1082,190,251,102,144,0.235845508
chr1,30000001,30100000,859,929,238,157,69,142,1.1837197
chr1,30100001,30200000,909,822,191,208,59,110,0.235845508
chr1,30200001,30300000,918,1473,184,501,61,88,0.471691016
chr1,30300001,30400000,1059,1227,171,353,86,33,0.235845508
chr1,30400001,30500000,1031,936,325,248,36,203,0
chr1,30500001,30600000,994,997,361,233,119,128,0.236963225
chr1,30600001,30700000,704,854,79,186,85,124,1.421789997
chr1,30700001,30800000,863,932,144,176,88,46,1.184848214
chr1,30800001,30900000,878,1069,164,171,33,79,0.471691016
chr1,30900001,31000000,803,1010,228,249,41,46,0
chr1,31000001,31100000,833,1229,215,503,48,121,0
chr1,31100001,31200000,771,1637,180,598,69,19,0.943382033
chr1,31200001,31300000,534,750,114,119,48,157,0.235845508
chr1,31300001,31400000,1011,765,350,144,59,131,0.235845508
chr1,31400001,31500000,924,1029,166,182,57,51,0.235845508
chr1,31500001,31600000,777,1034,185,246,120,12,0.235845508
chr1,31600001,31700000,926,1099,382,186,114,62,0
chr1,31700001,31800000,790,932,137,347,64,94,0.235845508
chr1,31800001,31900000,1249,904,412,249,46,62,0.235845508
chr1,31900001,32000000,920,856,281,180,113,53,0.473937096
chr1,32000001,32100000,685,878,175,181,83,91,0.707536525
chr1,32100001,32200000,1069,853,320,298,39,149,0.473937096
chr1,32200001,32300000,1268,1064,445,449,46,117,0
chr1,32300001,32400000,910,1329,293,634,31,85,0
chr1,32400001,32500000,823,1180,178,138,84,29,2.378746153
chr1,32500001,32600000,944,1305,275,401,45,114,0
chr1,32600001,32700000,1154,693,542,158,11,155,0
chr1,32700001,32800000,999,1016,281,301,23,147,0.236963225
chr1,32800001,32900000,940,1479,135,526,50,66,1.424046873
chr1,32900001,33000000,914,880,151,218,112,54,0.473926451
chr1,33000001,33100000,817,1065,172,256,52,104,0.713157197
chr1,33100001,33200000,1102,632,227,100,137,58,0.236963225
chr1,33200001,33300000,1050,1748,176,654,60,28,0.236963225
chr1,33300001,33400000,1204,1141,71,382,37,31,0
chr1,33400001,33500000,1060,912,266,157,29,63,0.473926451
chr1,33500001,33600000,1034,921,233,152,76,174,0
chr1,33600001,33700000,1109,670,124,130,30,43,0.235845508
chr1,33700001,33800000,1020,1184,256,328,84,163,0.235845508
chr1,33800001,33900000,810,807,176,174,81,135,0.235845508
chr1,33900001,34000000,774,1173,227,94,49,57,0.708654242
chr1,34000001,34100000,877,1032,220,214,72,35,0
chr1,34100001,34200000,1362,1197,576,231,68,60,0
chr1,34200001,34300000,477,993,85,109,19,73,0
chr1,34300001,34400000,873,1191,178,292,76,95,0
chr1,34400001,34500000,961,1229,208,228,33,128,0
chr1,34500001,34600000,988,1009,246,374,54,99,0.709782604
chr1,34600001,34700000,1075,1071,265,237,39,93,0.235845508
chr1,34700001,34800000,1095,1737,482,600,28,68,0.235845508
chr1,34800001,34900000,1022,1279,305,257,27,89,0.235845508
chr1,34900001,35000000,1456,1118,428,223,4,62,0.235845508
chr1,35000001,35100000,1144,1297,285,342,72,45,0
chr1,35100001,35200000,1166,1043,197,278,53,47,0.235845508
chr1,35200001,35300000,883,1268,175,349,176,29,0.473937096
chr1,35300001,35400000,863,987,115,373,124,53,0.235845508
chr1,35400001,35500000,862,1489,128,370,67,46,0.471691016
chr1,35500001,35600000,1047,1411,150,473,127,73,0
chr1,35600001,35700000,694,1238,415,284,20,24,0
chr1,35700001,35800000,757,861,247,167,77,151,0
chr1,35800001,35900000,649,861,169,137,82,162,0.471691016
chr1,35900001,36000000,868,1013,238,288,65,56,0.472808734
chr1,36000001,36100000,831,1038,468,269,55,181,0
chr1,36100001,36200000,635,798,112,237,33,59,1.889010145
chr1,36200001,36300000,1178,1418,200,746,44,108,0.710889676
chr1,36300001,36400000,746,1055,145,317,35,134,0.471691016
chr1,36400001,36500000,871,1044,128,374,53,165,0
chr1,36500001,36600000,923,875,145,436,60,73,0.235845508
chr1,36600001,36700000,946,680,418,96,59,92,2.124855654
chr1,36700001,36800000,1043,996,396,209,76,80,0.235845508
chr1,36800001,36900000,945,807,154,150,45,93,0.471691016
chr1,36900001,37000000,1281,977,299,201,76,36,0.943382033
chr1,37000001,37100000,844,683,134,162,54,50,0.945628112
chr1,37100001,37200000,741,1308,235,324,48,61,0
chr1,37200001,37300000,1001,1535,451,596,39,88,0
chr1,37300001,37400000,854,1017,236,292,36,138,0
chr1,37400001,37500000,702,954,240,212,119,108,0
chr1,37500001,37600000,1338,1497,600,570,5,100,0
chr1,37600001,37700000,941,720,275,173,68,47,0.235845508
chr1,37700001,37800000,786,1084,184,315,94,142,1.179227541
chr1,37800001,37900000,1146,1111,486,308,46,53,0.943382033
chr1,37900001,38000000,655,1238,469,354,34,140,0.235845508
chr1,38000001,38100000,965,1148,211,425,55,48,1.417319129
chr1,38100001,38200000,1256,1189,404,403,72,133,0.473937096
chr1,38200001,38300000,1023,952,149,226,60,161,0.471691016
chr1,38300001,38400000,933,1012,74,683,85,39,0
chr1,38400001,38500000,821,1144,201,291,61,60,0.471691016
chr1,38500001,38600000,910,972,165,261,88,104,0.471691016
chr1,38600001,38700000,539,934,81,193,56,52,0.471691016
chr1,38700001,38800000,681,836,210,125,100,126,0.471691016
chr1,38800001,38900000,624,848,119,151,40,80,0.707536525
chr1,38900001,39000000,795,848,116,322,65,57,0
chr1,39000001,39100000,1107,746,341,90,90,110,0.471691016
chr1,39100001,39200000,765,898,102,274,28,79,0
chr1,39200001,39300000,1209,683,364,182,37,171,0.714317955
chr1,39300001,39400000,785,854,110,219,71,101,1.179227541
chr1,39400001,39500000,1193,1288,347,323,20,28,0.943382033
chr1,39500001,39600000,687,839,159,205,28,80,0.707536525
chr1,39600001,39700000,970,825,152,151,32,52,0.471691016
chr1,39700001,39800000,1011,1301,204,359,114,48,1.42410056
chr1,39800001,39900000,720,882,128,122,105,54,1.415073049
chr1,39900001,40000000,891,1297,107,504,81,60,1.179227541
chr1,40000001,40100000,917,884,222,201,88,48,0
chr1,40100001,40200000,981,813,204,62,15,51,0.235845508
chr1,40200001,40300000,891,891,226,194,58,108,0.471691016
chr1,40300001,40400000,978,1018,203,251,19,175,0
chr1,40400001,40500000,976,912,281,151,49,57,1.653164637
chr1,40500001,40600000,567,1024,82,307,66,101,1.180345258
chr1,40600001,40700000,1088,907,132,156,57,9,0.235845508
chr1,40700001,40800000,841,1223,328,340,117,85,0.235845508
chr1,40800001,40900000,917,927,80,320,57,26,0.235845508
chr1,40900001,41000000,720,1262,189,525,97,29,0.943382033
chr1,41000001,41100000,1052,705,280,157,96,41,0.471691016
chr1,41100001,41200000,856,605,159,61,57,98,0.943382033
chr1,41200001,41300000,783,983,213,238,59,146,0.471691016
chr1,41300001,41400000,955,862,209,342,183,156,0.235845508
chr1,41400001,41500000,733,705,69,58,87,73,0.707536525
chr1,41500001,41600000,1059,1186,341,520,98,134,2.358455082
chr1,41600001,41700000,950,1777,246,598,78,110,0
chr1,41700001,41800000,700,886,63,175,70,187,0.235845508
chr1,41800001,41900000,799,668,154,113,68,218,0.943382033
chr1,41900001,42000000,904,780,142,163,47,164,1.415073049
chr1,42000001,42100000,1077,1491,283,438,125,45,0.471691016
chr1,42100001,42200000,1173,1296,393,423,23,101,0.471691016
chr1,42200001,42300000,979,756,170,75,56,89,0.707536525
chr1,42300001,42400000,854,938,338,192,35,82,0.471691016
chr1,42400001,42500000,840,848,174,174,82,133,0.471691016
chr1,42500001,42600000,690,1070,175,223,117,178,0.943382033
chr1,42600001,42700000,758,1171,76,392,146,35,0.235845508
chr1,42700001,42800000,857,914,424,212,73,151,0.709782604
chr1,42800001,42900000,840,890,128,242,115,168,1.417319129
chr1,42900001,43000000,777,697,79,131,81,163,1.417319129
chr1,43000001,43100000,885,1237,84,624,98,21,0
chr1,43100001,43200000,876,922,210,275,28,200,0.709782604
chr1,43200001,43300000,1029,789,245,127,57,133,0.235845508
chr1,43300001,43400000,1079,995,79,183,54,84,0
chr1,43400001,43500000,861,790,117,193,18,42,1.886764066
chr1,43500001,43600000,911,780,195,156,56,79,0.709782604
chr1,43600001,43700000,712,1344,122,379,56,83,0.235845508
chr1,43700001,43800000,864,1041,219,111,74,37,0.235845508
chr1,43800001,43900000,1024,678,196,74,34,38,0
chr1,43900001,44000000,966,1082,217,288,4,63,0
chr1,44000001,44100000,232,825,134,107,0,85,0
chr1,44100001,44200000,0,1198,0,320,0,61,0
chr1,44200001,44300000,0,1171,0,308,0,71,0
chr2,1,100000,1058,1125,322,330,31,46,0
chr2,100001,200000,739,773,144,122,20,25,0.471691016
chr2,200001,300000,900,934,270,213,49,68,0.235845508
chr2,300001,400000,595,851,166,285,29,71,0.709782604
chr2,400001,500000,1014,869,357,223,61,82,0.472808734
chr2,500001,600000,818,952,360,278,59,82,0.235845508
chr2,600001,700000,949,1041,257,162,4,26,0
chr2,700001,800000,990,1031,97,288,50,100,0.471691016
chr2,800001,900000,1063,704,362,128,32,102,0.235845508
chr2,900001,1000000,1055,1120,83,158,40,100,0.235845508
chr2,1000001,1100000,685,561,46,68,58,110,0.235845508
chr2,1100001,1200000,795,971,77,136,131,100,1.181473621
chr2,1200001,1300000,910,676,113,159,35,105,1.181473621
chr2,1300001,1400000,647,785,140,120,73,70,1.417319129
chr2,1400001,1500000,1003,870,76,123,70,58,0.714317955
chr2,1500001,1600000,766,608,228,98,73,122,1.419565208
chr2,1600001,1700000,765,741,98,73,41,75,0.471691016
chr2,1700001,1800000,944,779,57,145,17,22,1.42410056
chr2,1800001,1900000,587,1120,89,288,65,102,0
chr2,1900001,2000000,1124,895,266,144,33,104,0
chr2,2000001,2100000,1050,959,149,199,78,31,0.943382033
chr2,2100001,2200000,1047,1151,154,259,21,44,0.235845508
chr2,2200001,2300000,1173,1307,316,470,52,37,0
chr2,2300001,2400000,1305,1516,355,549,12,9,0
